Id;Date;TimeBegin;TimeEnd;EmployeeId;DurationPersonTime;RoomId
1;05.02.2024;8:00;15:00;1;30;10
2;05.02.2024;8:00;15:00;2;30;11
3;05.02.2024;8:00;15:00;13;30;26
4;05.02.2024;13:00;18:00;17;30;17
5;06.02.2024;8:00;15:00;1;30;10
6;06.02.2024;8:00;15:00;2;30;11
7;06.02.2024;8:00;15:00;13;30;26
8;06.02.2024;13:00;18:00;17;30;17
9;07.02.2024;8:00;15:00;1;30;10
10;07.02.2024;8:00;15:00;2;30;11
11;07.02.2024;8:00;15:00;13;30;26
12;07.02.2024;13:00;18:00;17;30;17
13;08.02.2024;8:00;15:00;1;30;10
14;08.02.2024;8:00;15:00;2;30;11
15;08.02.2024;8:00;15:00;13;30;26
16;08.02.2024;13:00;18:00;17;30;17
17;09.02.2024;8:00;15:00;1;30;10
18;09.02.2024;8:00;15:00;2;30;11
19;09.02.2024;8:00;15:00;13;30;26
20;09.02.2024;13:00;18:00;17;30;17
21;12.02.2024;8:00;15:00;1;30;10
22;12.02.2024;8:00;15:00;2;30;11
23;12.02.2024;8:00;15:00;13;30;26
24;12.02.2024;13:00;18:00;17;30;17
25;13.02.2024;8:00;15:00;1;30;10
26;13.02.2024;8:00;15:00;2;30;11
27;13.02.2024;8:00;15:00;13;30;26
28;13.02.2024;13:00;18:00;17;30;17
29;14.02.2024;8:00;15:00;1;30;10
30;14.02.2024;8:00;15:00;2;30;11
31;14.02.2024;8:00;15:00;13;30;26
32;14.02.2024;13:00;18:00;17;30;17
33;15.02.2024;8:00;15:00;1;30;10
34;15.02.2024;8:00;15:00;2;30;11
35;15.02.2024;8:00;15:00;13;30;26
36;15.02.2024;13:00;18:00;17;30;17
37;16.02.2024;8:00;15:00;1;30;10
38;16.02.2024;8:00;15:00;2;30;11
39;16.02.2024;8:00;15:00;13;30;26
40;16.02.2024;13:00;18:00;17;30;17
